iter	RMSE
0	316.0659312
1	315.2024913
2	314.29207
3	313.6915058
4	312.921746
5	312.3766511
6	311.8220862
7	311.3986279
8	311.0129821
9	310.5399502
10	310.0405054
11	309.6963874
12	309.2737646
13	308.8037686
14	308.4865075
15	308.1768498
16	307.8207545
17	307.5721709
18	307.4329703
19	307.3343516
20	307.1854902
21	306.8787183
22	306.7822364
23	306.547968
24	306.3355352
25	306.2076077
26	306.1169467
27	306.0513447
28	305.7491903
29	305.5984593
30	305.4437844
31	305.2370234
32	305.104554
33	304.8989291
34	304.7288743
35	304.5500399
36	304.4994018
37	304.4093243
38	304.2822591
39	304.1124313
40	304.0846645
41	304.0245829
42	303.918573
43	303.7630472
44	303.6650253
45	303.4889656
46	303.2548558
47	303.2444899
48	303.2020465
49	303.1675532
50	303.125498
51	303.0756323
52	303.0014505
53	302.8877046
54	302.7787625
55	302.7033267
56	302.5019634
57	302.4885594
58	302.2158987
59	302.1760984
60	302.0769042
61	301.9619619
62	301.9139546
63	301.7327083
64	301.6999383
65	301.6669601
66	301.509687
67	301.4711657
68	301.4521386
69	301.4024936
70	301.3366615
71	301.2502426
72	301.1809962
73	301.1146458
74	300.9588269
75	300.7686485
76	300.7061085
77	300.5042502
78	300.4679063
79	300.3750312
80	300.157245
81	300.1048406
82	299.9558423
83	299.9044416
84	299.7860684
85	299.7494405
86	299.6802355
87	299.6494673
88	299.6191157
89	299.5575107
90	299.2636143
91	299.1844269
92	299.0905152
93	299.0435418
94	298.9633419
95	298.9101452
96	298.8695772
97	298.8352475
98	298.7884544
99	298.7630666
100	298.7118377
101	298.6804086
102	298.6439192
103	298.5999168
104	298.5223211
105	298.4069543
106	298.3089658
107	298.2404994
108	298.2007465
109	298.1317328
110	298.1130671
111	298.0916224
112	298.045498
113	298.0076817
114	297.9905261
115	297.9497813
